State_Abbrev,year,State_Name,pop_millions,percapita_health_spending_thousands,medicaid_enroll_percapita,prev2years_drugusecalc,prev2years_aud,prev2years_marijuana,Gender_Male,Ethnicity_HispanicorLatino,Race_White,Insurance_Uninsured,Unemployment,Income,Forprofit,Government,Nonprofit,count_tx_total
KS,2017,Kansas,2.910892,8.06,0.130887714,0.7953,5.3825,6.9999,49.26082197,8.908343031,88.44926317,8.5,3.6,69630,61,22,99,182
KS,2018,Kansas,2.912748,8.381,0.128744402,1.00875,5.8711,6.7791,49.26082197,8.908343031,88.44926317,8.7,3.3,76700,59,29,91,179
KS,2019,Kansas,2.912635,8.745,0.124972748,1.0022,5.4972,6.5446,49.35545785,10.15262425,87.46891934,9.2,3.2,86470,58,28,93,179
KS,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,26,91,170
KS,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,26,94,161
KS,2022,Kansas,2.937324,NA,NA,1.3751,5.544,7.7502,50.23424068,13.04104319,85.853906,8.7,2.7,75950,48,23,101,172
KS,2023,Kansas,2.9515,NA,NA,0.865355862,11.43214157,12.89075378,50.14844182,13.72404989,85.85109704,NA,2.9,84830,43,21,78,142
KY,2015,Kentucky,4.429126,8.306,0.27883605,1.1076,5.8569,6.8634,48.67947329,2.702921985,89.61737961,6.1,5.3,53250,144,8,182,334
KY,2016,Kentucky,4.440306,8.611,0.293673454,1.13925,5.947,7.1327,48.67947329,2.702921985,89.61737961,5.2,5.1,56500,169,8,186,363
KY,2017,Kentucky,4.45559,8.959,0.302990176,1.13265,5.7121,7.1139,48.67947329,2.702921985,89.61737961,5.5,4.8,60790,167,6,186,359
KY,2018,Kentucky,4.464273,9.332,0.296128843,1.05495,5.2802,7.946,48.67947329,2.702921985,89.61737961,5.6,4.2,65440,207,7,204,418
KY,2019,Kentucky,4.472345,9.744,0.286426919,1.14105,4.9593,8.4228,48.68620276,3.134590149,88.65870048,6.4,4.1,65800,227,5,217,449
KY,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,5,221,477
KY,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,18,250,469
KY,2022,Kentucky,4.519233,NA,NA,1.26525,5.4472,10.107,49.65325964,4.321223497,86.87599035,5.4,4,58090,263,18,237,518
KY,2023,Kentucky,4.550595,NA,NA,1.377766557,9.606193167,11.04080724,49.55940518,5.036903296,86.66600827,NA,4.3,61980,295,6,236,537
LA,2015,Louisiana,4.666998,8.201,0.272123536,1.0293,6.4005,6.1745,48.27921786,4.347340964,65.72855505,12.1,6.3,57690,57,47,55,159
LA,2016,Louisiana,4.681346,8.542,0.297563991,1.0235,7.0396,6.4257,48.27921786,4.347340964,65.72855505,10.2,6,52540,60,43,54,157
LA,2017,Louisiana,4.673673,8.984,0.322658432,1.03635,6.9264,6.9367,48.27921786,4.347340964,65.72855505,8.3,5.1,53310,53,42,41,136
LA,2018,Louisiana,4.66445,9.217,0.322010098,0.89275,6.5703,7.8025,48.27921786,4.347340964,65.72855505,7.9,4.8,59950,64,40,41,145
LA,2019,Louisiana,4.658285,9.657,0.318572178,0.924,6.8975,7.959,48.12204645,4.708720682,64.70296457,8.9,4.6,61120,69,42,35,146
LA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,45,37,155
LA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,56,40,176
LA,2022,Louisiana,4.593687,NA,NA,1.1389,6.0422,8.0259,48.95973872,5.800065835,62.50096672,6.8,3.7,60640,116,63,50,229
LA,2023,Louisiana,4.588071,NA,NA,1.498612235,11.5262096,13.81572338,48.8635909,7.253196448,62.55220827,NA,3.7,57650,101,46,40,187
MA,2015,Massachusetts,6.797484,11.01,0.234057189,1.43375,7.0033,12.0134,47.77652053,9.069496335,84.39543086,2.8,4.8,85250,66,15,240,321
MA,2016,Massachusetts,6.82728,11.49,0.239187495,1.4279,7.0388,11.9083,47.77652053,9.069496335,84.39543086,2.5,4,89990,79,13,263,355
MA,2017,Massachusetts,6.86356,11.746,0.233260873,1.6934,7.9678,12.1356,47.77652053,9.069496335,84.39543086,2.8,3.8,93300,85,9,257,351
MA,2018,Massachusetts,6.88572,12.215,0.232364952,1.8625,7.5628,13.781,47.77652053,9.069496335,84.39543086,2.7,3.5,103600,125,14,275,414
MA,2019,Massachusetts,6.894883,12.729,0.220743412,1.8419,7.1025,13.9824,47.9197902,10.71644613,81.99372418,3,3,103700,135,14,289,438
MA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,12,290,440
MA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,22,302,470
MA,2022,Massachusetts,7.022468,NA,NA,1.4083,6.4816,15.3623,48.95392048,13.08549702,79.43812165,2.4,3.6,97260,159,13,286,458
MA,2023,Massachusetts,7.066568,NA,NA,1.721459099,12.26519702,20.76679976,48.8535934,13.48848994,78.98937055,NA,3.5,106500,149,7,230,386
MD,2015,Maryland,5.988528,9.001,0.194872596,0.9606,7.0604,8.6053,47.70658465,7.796983447,62.08732408,6.7,5,92450,191,59,132,382
MD,2016,Maryland,6.007014,9.321,0.203761802,1.28115,6.9675,9.6645,47.70658465,7.796983447,62.08732408,6.1,4.2,91850,205,51,146,402
MD,2017,Maryland,6.028186,9.592,0.218473683,1.26065,6.3409,10.4673,47.70658465,7.796983447,62.08732408,6.1,4.1,100500,203,46,138,387
