"State_Abbrev","year","State_Name","pop_millions","percapita_health_spending_thousands","medicaid_enroll_percapita","prev2years_drugusecalc","prev2years_aud","prev2years_marijuana","Gender_Male","Ethnicity_HispanicorLatino","Race_White","Insurance_Uninsured","Unemployment","Income","Forprofit","Government","Nonprofit","count_tx_total","overdose_rate","overdose_rate_lag"
"MD","2016","Maryland",6.007,9.321,0.2037622773431,1.28115,6.9675,9.6645,47.7065846510669,7.79698344668113,62.0873240838739,6.1,4.3,88500,205,51,146,402,33.2,20.9
"MD","2017","Maryland",6.028,9.592,0.218480424684804,1.26065,6.3409,10.4673,47.7065846510669,7.79698344668113,62.0873240838739,6.1,4,96800,203,46,138,387,36.3,33.2
"MD","2018","Maryland",6.042,9.934,0.217477656405164,1.43505,5.7614,11.0364,47.7065846510669,7.79698344668113,62.0873240838739,6,3.8,99660,233,41,139,413,37.2,36.3
"MD","2019","Maryland",6.055,10.248,0.218662262592898,1.22155,5.1042,10.1857,47.7113130686947,8.961647517068,59.7783163815887,5.9,3.4,108900,261,40,130,431,38.2,37.2
"ME","2015","Maine",1.329,9.591,0.229495861550038,1.00395,5.9699,12.9143,48.3989238953189,1.16387341423185,96.1176401088107,8.6,4.4,61440,100,10,98,208,21.2,16.8
"ME","2016","Maine",1.332,10.018,0.225975975975976,1.25215,5.5744,13.9832,48.3989238953189,1.16387341423185,96.1176401088107,7.9,3.8,61020,132,7,90,229,28.7,21.2
"ME","2017","Maine",1.336,10.399,0.220808383233533,1.21245,5.9669,15.1183,48.3989238953189,1.16387341423185,96.1176401088107,7.8,3.4,62870,104,6,89,199,34.4,28.7
"ME","2018","Maine",1.34,10.95,0.214179104477612,1.25255,5.9084,16.308,48.3989238953189,1.16387341423185,96.1176401088107,7.8,3.2,67810,88,8,85,181,27.9,34.4
"ME","2019","Maine",1.346,11.488,0.227340267459138,1.42925,6.4512,17.0937,48.450591154576,1.51519851116625,95.3410086118815,8.1,2.9,75800,99,8,79,186,29.9,27.9
"MI","2015","Michigan",9.934,8.372,0.242601167706865,0.7241,6.4925,10.404,48.5175588971254,3.78693708855508,81.6047362969109,6,5.4,65610,153,55,255,463,20.4,18
"MI","2016","Michigan",9.954,8.707,0.253767329716697,0.85945,5.9693,10.2894,48.5175588971254,3.78693708855508,81.6047362969109,5.3,5,68500,162,62,255,479,24.4,20.4
"MI","2017","Michigan",9.977,8.94,0.234338979653202,0.9648,6.1015,10.8094,48.5175588971254,3.78693708855508,81.6047362969109,5.1,4.6,66510,162,54,240,456,27.8,24.4
"MI","2018","Michigan",9.987,9.142,0.263542605387003,1.0787,5.8576,12.002,48.5175588971254,3.78693708855508,81.6047362969109,5.4,4.2,69870,170,56,239,465,26.6,27.8
"MI","2019","Michigan",9.985,9.532,0.260390585878818,1.15995,5.6752,13.0815,48.7319666837064,4.42515822994691,80.7574349963931,5.8,4.1,73030,166,57,244,467,24.4,26.6
"MN","2015","Minnesota",5.484,9.163,0.220824215900802,0.7839,6.7233,7.3354,49.2536414824214,3.92057347801981,88.4333591972623,4.5,3.8,83200,144,45,163,352,10.6,9.6
"MN","2016","Minnesota",5.525,9.54,0.223891402714932,0.9944,6.7532,7.738,49.2536414824214,3.92057347801981,88.4333591972623,4.2,3.9,84250,165,44,161,370,12.5,10.6
"MN","2017","Minnesota",5.569,9.782,0.214939845573712,1.0992,6.0909,7.4705,49.2536414824214,3.92057347801981,88.4333591972623,4.5,3.5,82510,162,43,151,356,13.3,12.5
"MN","2018","Minnesota",5.609,10.174,0.206632198252808,1.0354,5.4074,7.9063,49.2536414824214,3.92057347801981,88.4333591972623,4.3,3,83010,170,45,163,378,11.5,13.3
"MN","2019","Minnesota",5.64,10.51,0.199290780141844,1.479,5.5727,9.8126,49.4365368709621,4.54134703116854,86.2773848522461,4.8,3.3,92740,185,45,173,403,14.2,11.5
