"State_Abbrev","year","State_Name","pop_millions","percapita_health_spending_thousands","medicaid_enroll_percapita","prev2years_drugusecalc","prev2years_aud","prev2years_marijuana","Gender_Male","Ethnicity_HispanicorLatino","Race_White","Insurance_Uninsured","Unemployment","Income","Forprofit","Government","Nonprofit","count_tx_total"
"IN","2016","Indiana",6.638,8.776,0.204880988249473,0.8067,6.3019,8.7862,48.659320471975,5.13848401619798,87.686185426108,8.1,4.4,69850,78,11,176,265
"IN","2017","Indiana",6.662,9.015,0.21314920444311,0.9378,5.7154,8.9138,48.659320471975,5.13848401619798,87.686185426108,8.4,3.5,71920,115,11,179,305
"IN","2018","Indiana",6.698,9.297,0.206778142729173,1.37305,5.6311,9.5877,48.659320471975,5.13848401619798,87.686185426108,8.5,3.4,71850,145,14,209,368
"IN","2019","Indiana",6.731,9.927,0.205467241123162,1.4187,5.1521,10.5726,48.7458528160166,5.98213550551327,86.2119076610415,8.8,3.3,78840,167,11,215,393
"IN","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,12,221,416
"IN","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,23,271,470
"IN","2022","Indiana",NA,NA,NA,1.02145,6.0019,11.9846,49.6922232383638,7.92837796722014,83.9589189989751,6.8,3.1,72810,184,20,257,461
"IN","2023","Indiana",NA,NA,NA,0.986469633489518,10.8430315748601,13.0832087047056,NA,NA,NA,NA,3.4,76910,227,11,257,495
"KS","2015","Kansas",2.911,7.634,0.126417038818276,0.8494,7.9213,6.393,49.2608219746287,8.90834303095943,88.4492631724488,9.3,4.2,68930,72,33,103,208
"KS","2016","Kansas",2.913,7.845,0.137315482320632,0.6987,6.3657,7.3762,49.2608219746287,8.90834303095943,88.4492631724488,8.4,4,70740,69,30,102,201
"KS","2017","Kansas",2.911,8.06,0.130882858124356,0.7953,5.3825,6.9999,49.2608219746287,8.90834303095943,88.4492631724488,8.5,3.6,69630,61,22,99,182
"KS","2018","Kansas",2.913,8.381,0.128733264675592,1.00875,5.8711,6.7791,49.2608219746287,8.90834303095943,88.4492631724488,8.7,3.3,76700,59,29,91,179
"KS","2019","Kansas",2.913,8.745,0.124957088911775,1.0022,5.4972,6.5446,49.3554578501453,10.1526242525491,87.4689193381639,9.2,3.2,86470,58,28,93,179
"KS","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,26,91,170
"KS","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,26,94,161
"KS","2022","Kansas",NA,NA,NA,1.3751,5.544,7.7502,50.2342406754847,13.0410431881245,85.8539059973103,8.7,2.7,75950,48,23,101,172
