"State_Abbrev","profit_type","year","count_tx","State_Name","pop_thousands","percapita_health_spending","medicaid_enrollment","medicaid_enroll_percapita","cocaine_yr","marijuana_month","aud_yr","heroin_yr","binge_drinking","illicit_druguse","needing_tx","sud","start_year","percapita_health_spending_thousands","pop_millions","prev2years_bingedrinking","prev2years_druguse","prev2years_sud","prev2years_needingtx","prev2years_aud","prev2years_marijuana","druguse_calc","prev2years_drugusecalc","prev2years_cocaine","prev2years_heroin","tx_percapita","Gender_Female","Gender_Male","Ethnicity_HispanicorLatino","Ethnicity_NotHispanicorLatino","Race_AmericanIndianorAlaskaNative","Race_Asian","Race_BlackorAfricanAmerican","Race_Morethanonerace","Race_NativeHawaiianorOtherPacificIslander","Race_White","Insurance_Employer","Insurance_Non.Group","Insurance_Medicaid","Insurance_Medicare","Insurance_Military","Insurance_Uninsured","Insurance_Total","Population","Unemployment","Income"
"NH","Government","2015",2,"New Hampshire",1337,9763,184,0.137621540762902,3.2772,12.3054,7.6193,0.6581,NA,NA,NA,NA,"2014",9.763,1.337,NA,NA,NA,NA,7.9816,11.6647,1.96765,1.5981,2.6362,0.56,1.49588631264024e-06,0.510450787634727,0.489549212365273,0.0260030794741206,0.973996920525879,0.00275731375103636,0.0245618855856923,0.0125102451735165,0.0104294681985076,0.000400805400923842,0.949340281890323,0.585,0.056,0.125,0.154,0.011,0.069,1,1337.48,3.4,91600
"NH","Government","2016",1,"New Hampshire",1344,10157,203,0.151041666666667,2.9328,12.4248,6.3619,0.9371,30.0367,4.0219,7.9343,8.6588,"2015",10.157,1.344,NA,NA,NA,NA,7.6193,12.3054,1.93495,1.96765,3.2772,0.6581,7.44047619047619e-07,0.510450787634727,0.489549212365273,0.0260030794741206,0.973996920525879,0.00275731375103636,0.0245618855856923,0.0125102451735165,0.0104294681985076,0.000400805400923842,0.949340281890323,0.574,0.059,0.135,0.159,0.01,0.064,1,1343.694,2.9,91500
"NH","Government","2017",NA,"New Hampshire",1350,10573,202,0.14962962962963,2.3197,13.2791,6.5095,0.729,30.6347,3.756,8.1277,8.6858,"2016",10.573,1.35,30.0367,4.0219,8.6588,7.9343,6.3619,12.4248,1.52435,1.93495,2.9328,0.9371,NA,0.510450787634727,0.489549212365273,0.0260030794741206,0.973996920525879,0.00275731375103636,0.0245618855856923,0.0125102451735165,0.0104294681985076,0.000400805400923842,0.949340281890323,0.573,0.056,0.138,0.168,0.009,0.057,1,1350.395,2.8,89180
"NH","Government","2018",1,"New Hampshire",1355,10974,193,0.142435424354244,2.8855,14.7243,7.0845,0.4435,31.6094,3.5119,8.5781,9.0947,"2017",10.974,1.355,30.6347,3.756,8.6858,8.1277,6.5095,13.2791,1.6645,1.52435,2.3197,0.729,7.38007380073801e-07,0.510450787634727,0.489549212365273,0.0260030794741206,0.973996920525879,0.00275731375103636,0.0245618855856923,0.0125102451735165,0.0104294681985076,0.000400805400923842,0.949340281890323,0.575,0.05,0.141,0.171,0.011,0.052,1,1355.064,2.6,94020
"NH","Government","2019",1,"New Hampshire",1361,11310,187,0.1373989713446,2.8104,14.564,6.8546,0.3209,29.8471,3.3705,8.2095,8.837,"2018",11.31,1.361,31.6094,3.5119,9.0947,8.5781,7.0845,14.7243,1.56565,1.6645,2.8855,0.4435,7.34753857457752e-07,0.508374675791268,0.491625324208732,0.0341412382646846,0.965858761735315,0.00298281082861688,0.0289729031183767,0.0164280840327313,0.0126914256858383,0.000472399045066145,0.938452377289371,0.562,0.053,0.132,0.177,0.012,0.064,1,1360.783,2.6,98980
"NJ","Government","2015",21,"New Jersey",8870,9483,1694,0.19098083427283,1.829,7.0252,5.9677,0.7339,NA,NA,NA,NA,"2014",9.483,8.87,NA,NA,NA,NA,6.8158,6.2942,1.28145,0.94635,1.4115,0.4812,2.36753100338219e-06,0.51909931920601,0.48090068079399,0.1723290919616,0.8276709080384,0.00552879450223102,0.0895676395056542,0.142114558667083,0.0140798019040964,0.000920394561652778,0.747788810859283,0.554,0.055,0.174,0.124,0.00499999999999989,0.088,1,8870.312,5.7,82750
"NJ","Government","2016",20,"New Jersey",8874,9979,1726,0.194500788821276,2.0644,6.8745,5.0994,0.5512,25.0628,2.9909,6.033,6.5262,"2015",9.979,8.874,NA,NA,NA,NA,5.9677,7.0252,1.3078,1.28145,1.829,0.7339,2.25377507324769e-06,0.51909931920601,0.48090068079399,0.1723290919616,0.8276709080384,0.00552879450223102,0.0895676395056542,0.142114558667083,0.0140798019040964,0.000920394561652778,0.747788810859283,0.559,0.057,0.174,0.128,0.005,0.077,1,8873.584,4.9,82150
"NJ","Government","2017",16,"New Jersey",8888,10340,1740,0.195769576957696,2.0066,7.3461,5.0333,0.4878,26.089,2.823,5.9935,6.5158,"2016",10.34,8.888,25.0628,2.9909,6.5262,6.033,5.0994,6.8745,1.2472,1.3078,2.0644,0.5512,1.8001800180018e-06,0.51909931920601,0.48090068079399,0.1723290919616,0.8276709080384,0.00552879450223102,0.0895676395056542,0.142114558667083,0.0140798019040964,0.000920394561652778,0.747788810859283,0.56,0.057,0.171,0.131,0.005,0.076,1,8888.147,4.5,84000
"NJ","Government","2018",18,"New Jersey",8892,10665,1702,0.191408007197481,1.5824,8.1138,5.0705,0.6631,27.7054,2.6904,6.7618,7.0116,"2017",10.665,8.892,26.089,2.823,6.5158,5.9935,5.0333,7.3461,1.12275,1.2472,2.0066,0.4878,2.02429149797571e-06,0.51909931920601,0.48090068079399,0.1723290919616,0.8276709080384,0.00552879450223102,0.0895676395056542,0.142114558667083,0.0140798019040964,0.000920394561652778,0.747788810859283,0.566,0.055,0.167,0.133,0.005,0.074,1,8891.73,4,85740
"NJ","Government","2019",18,"New Jersey",8891,11264,1630,0.18333145877854,1.7112,9.2167,4.6139,0.4441,27.3092,2.5774,6.2941,6.7056,"2018",11.264,8.891,27.7054,2.6904,7.0116,6.7618,5.0705,8.1138,1.07765,1.12275,1.5824,0.6631,2.02451917669553e-06,0.517349165182119,0.482650834817881,0.189756642610205,0.810243357389795,0.00605065026714662,0.100144177562505,0.146720280703653,0.0165266607587019,0.00104466481847258,0.72951356588952,0.557,0.054,0.166,0.138,0.005,0.079,1,8891.258,3.5,99920
"NM","Government","2015",36,"New Mexico",2090,7418,841,0.402392344497608,2.0405,10.3081,7.2761,0.196,NA,NA,NA,NA,"2014",7.418,2.09,NA,NA,NA,NA,7.3666,9.7262,1.11825,1.31445,2.3029,0.326,1.72248803827751e-05,0.509565910458809,0.490434089541191,0.437329439560738,0.562670560439262,0.0956363684591789,0.0173154568414591,0.0233790561096084,0.017938805709042,0.00150184762625341,0.844228465254458,0.363,0.05,0.32,0.138,0.02,0.109,1,2090.071,6.6,54620
"NM","Government","2016",36,"New Mexico",2093,7717,924,0.441471571906354,1.9753,10.6101,7.4319,0.3944,27.6848,3.6039,8.5808,9.0934,"2015",7.717,2.093,NA,NA,NA,NA,7.2761,10.3081,1.18485,1.11825,2.0405,0.196,1.72001911132346e-05,0.509565910458809,0.490434089541191,0.437329439560738,0.562670560439262,0.0956363684591789,0.0173154568414591,0.0233790561096084,0.017938805709042,0.00150184762625341,0.844228465254458,0.369,0.05,0.325,0.141,0.025,0.09,1,2092.555,6.7,58130
"NM","Government","2017",32,"New Mexico",2093,7973,948,0.452938365981844,2.1515,12.1953,6.4151,0.3681,26.4168,3.8039,7.68,8.2202,"2016",7.973,2.093,27.6848,3.6039,9.0934,8.5808,7.4319,10.6101,1.2598,1.18485,1.9753,0.3944,1.52890587673196e-05,0.509565910458809,0.490434089541191,0.437329439560738,0.562670560439262,0.0956363684591789,0.0173154568414591,0.0233790561096084,0.017938805709042,0.00150184762625341,0.844228465254458,0.362,0.048,0.336,0.141,0.021,0.091,1,2092.844,6.1,53770
"NM","Government","2018",29,"New Mexico",2094,8154,895,0.427411652340019,2.2423,13.3379,5.5624,0.324,24.9196,3.111,6.8231,7.5312,"2017",8.154,2.094,26.4168,3.8039,8.2202,7.68,6.4151,12.1953,1.28315,1.2598,2.1515,0.3681,1.38490926456542e-05,0.509565910458809,0.490434089541191,0.437329439560738,0.562670560439262,0.0956363684591789,0.0173154568414591,0.0233790561096084,0.017938805709042,0.00150184762625341,0.844228465254458,0.366,0.043,0.329,0.15,0.019,0.093,1,2093.754,4.9,55810
"NM","Government","2019",32,"New Mexico",2100,8459,881,0.41952380952381,2.0004,12.6973,5.7329,0.325,22.9574,2.8871,7.1911,7.7043,"2018",8.459,2.1,24.9196,3.111,7.5312,6.8231,5.5624,13.3379,1.1627,1.28315,2.2423,0.324,1.52380952380952e-05,0.509314760312495,0.490685239687505,0.459207667534709,0.540792332465291,0.100030509884895,0.0189660539007966,0.0253527898053839,0.0203676595220118,0.0015704886204293,0.833712498266484,0.366,0.04,0.327,0.15,0.018,0.098,1,2099.634,5,60500
"NV","Government","2015",13,"Nevada",2869,6987,498,0.173579644475427,1.5415,7.8481,6.582,0.3526,NA,NA,NA,NA,"2014",6.987,2.869,NA,NA,NA,NA,7.1694,7.743,0.94705,0.975,1.6993,0.2507,4.53119553851516e-06,0.499036472555739,0.500963527444261,0.234598417041843,0.765401582958157,0.0153423941699751,0.0852045008003456,0.0863505466591584,0.0271999600063009,0.00697437290540075,0.778928225458819,0.476,0.066,0.186,0.132,0.017,0.123,1,2868.531,6.8,62960
"NV","Government","2016",13,"Nevada",2920,7377,555,0.190068493150685,1.9615,8.2124,5.6077,0.36,26.4771,3.5165,7.0698,7.4423,"2015",7.377,2.92,NA,NA,NA,NA,6.582,7.8481,1.16075,0.94705,1.5415,0.3526,4.45205479452055e-06,0.499036472555739,0.500963527444261,0.234598417041843,0.765401582958157,0.0153423941699751,0.0852045008003456,0.0863505466591584,0.0271999600063009,0.00697437290540075,0.778928225458819,0.482,0.065,0.193,0.131,0.018,0.111,1,2919.555,5.8,66510
"NV","Government","2017",11,"Nevada",2972,7642,564,0.189771197846568,2.5045,12.1074,5.9972,0.5361,25.4544,3.9408,7.9054,8.3234,"2016",7.642,2.972,26.4771,3.5165,7.4423,7.0698,5.6077,8.2124,1.5203,1.16075,1.9615,0.36,3.70121130551817e-06,0.499036472555739,0.500963527444261,0.234598417041843,0.765401582958157,0.0153423941699751,0.0852045008003456,0.0863505466591584,0.0271999600063009,0.00697437290540075,0.778928225458819,0.493,0.053,0.189,0.136,0.018,0.111,1,2972.097,5,68440
"NV","Government","2018",14,"Nevada",3031,7892,558,0.184097657538766,2.4395,15.6385,5.8752,0.3616,24.8509,3.5971,8.2925,9.0002,"2017",7.892,3.031,25.4544,3.9408,8.3234,7.9054,5.9972,12.1074,1.40055,1.5203,2.5045,0.5361,4.6189376443418e-06,0.499036472555739,0.500963527444261,0.234598417041843,0.765401582958157,0.0153423941699751,0.0852045008003456,0.0863505466591584,0.0271999600063009,0.00697437290540075,0.778928225458819,0.483,0.054,0.193,0.137,0.019,0.114,1,3030.725,4.4,71510
"NV","Government","2019",14,"Nevada",3091,8114,547,0.176965383371077,2.9641,16.7391,6.4602,0.2337,26.8709,3.8143,8.6186,9.3225,"2018",8.114,3.091,24.8509,3.5971,9.0002,8.2925,5.8752,15.6385,1.5989,1.40055,2.4395,0.3616,4.52927855063086e-06,0.501427563217825,0.498572436782175,0.257313626937102,0.742686373062898,0.0160055691868378,0.0947629861091693,0.0976135216384027,0.0334518482780553,0.00774444176873434,0.750421633018801,0.495,0.055,0.178,0.14,0.017,0.115,1,3090.771,4.1,80760
"NY","Government","2015",116,"New York",19657,10305,5924,0.301368469247596,2.7053,9.7454,6.773,0.5584,NA,NA,NA,NA,"2014",10.305,19.657,NA,NA,NA,NA,6.9714,8.5956,1.63185,1.41885,2.4314,0.4063,5.90120567736684e-06,0.522397652713129,0.477602347286871,0.169136450117847,0.830863549882153,0.00894444025313924,0.082925720779406,0.169364275172898,0.0173294549789164,0.00124459021089153,0.720191518604749,0.495,0.054,0.257,0.118,0.005,0.071,1,19657.32,5.2,70210
"NY","Government","2016",128,"New York",19636,10927,5867,0.298787940517417,2.5518,9.9042,6.4265,0.446,27.3461,3.528,7.4089,8.3287,"2015",10.927,19.636,NA,NA,NA,NA,6.773,9.7454,1.4989,1.63185,2.7053,0.5584,6.51863923405989e-06,0.522397652713129,0.477602347286871,0.169136450117847,0.830863549882153,0.00894444025313924,0.082925720779406,0.169364275172898,0.0173294549789164,0.00124459021089153,0.720191518604749,0.492,0.059,0.264,0.119,0.005,0.061,1,19636.39,4.9,73720
"NY","Government","2017",108,"New York",19594,11558,5889,0.300551189139532,2.6459,9.7196,6.0239,0.3212,26.7813,3.4305,7.3512,8.0417,"2016",11.558,19.594,27.3461,3.528,8.3287,7.4089,6.4265,9.9042,1.48355,1.4989,2.5518,0.446,5.5118913953251e-06,0.522397652713129,0.477602347286871,0.169136450117847,0.830863549882153,0.00894444025313924,0.082925720779406,0.169364275172898,0.0173294549789164,0.00124459021089153,0.720191518604749,0.494,0.059,0.263,0.122,0.005,0.057,1,19593.85,4.6,72570
"NY","Government","2018",113,"New York",19544,12098,5872,0.300450266066312,2.8241,10.047,5.6512,0.2991,25.4761,3.422,7.0085,7.567,"2017",12.098,19.544,26.7813,3.4305,8.0417,7.3512,6.0239,9.7196,1.5616,1.48355,2.6459,0.3212,5.7818256242325e-06,0.522397652713129,0.477602347286871,0.169136450117847,0.830863549882153,0.00894444025313924,0.082925720779406,0.169364275172898,0.0173294549789164,0.00124459021089153,0.720191518604749,0.494,0.059,0.263,0.127,0.004,0.053,1,19544.1,4.1,77760
"NY","Government","2019",107,"New York",19463,12932,5834,0.299748240250732,2.712,11.3633,5.4769,0.3203,24.8777,3.3275,6.9364,7.4328,"2018",12.932,19.463,25.4761,3.422,7.567,7.0085,5.6512,10.047,1.51615,1.5616,2.8241,0.2991,5.49761085135899e-06,0.52111687481697,0.47888312518303,0.177820287511623,0.822179712488377,0.00947584435389075,0.0917613409735072,0.171856540081654,0.0199412399666987,0.00133735228096101,0.705627682343288,0.498,0.058,0.257,0.13,0.004,0.053,1,19463.13,3.9,81840
"OH","Government","2015",25,"Ohio",11622,8754,2968,0.255377731887799,1.5433,7.8167,6.8857,0.4083,NA,NA,NA,NA,"2014",8.754,11.622,NA,NA,NA,NA,7.0737,7.0232,0.9758,0.96575,1.4852,0.4463,2.1510927551196e-06,0.517281448446856,0.482718551553144,0.0274986551957846,0.972501344804215,0.00267425844733684,0.0193897182672983,0.117864232420711,0.0122344971048474,0.000440331644797795,0.847396962115008,0.522,0.049,0.209,0.146,0.009,0.065,1,11622.32,5,64520
"OH","Government","2016",32,"Ohio",11640,9062,3028,0.260137457044674,1.7805,9.212,6.4726,0.4389,28.2953,3.1825,7.4997,8.2532,"2015",9.062,11.64,NA,NA,NA,NA,6.8857,7.8167,1.1097,0.9758,1.5433,0.4083,2.74914089347079e-06,0.517281448446856,0.482718551553144,0.0274986551957846,0.972501344804215,0.00267425844733684,0.0193897182672983,0.117864232420711,0.0122344971048474,0.000440331644797795,0.847396962115008,0.523,0.049,0.213,0.151,0.009,0.056,1,11640.06,5,64770
"OH","Government","2017",29,"Ohio",11666,9400,3042,0.260757757586148,1.8933,8.8065,5.9948,0.4899,26.8574,3.2669,7.372,8.0459,"2016",9.4,11.666,28.2953,3.1825,8.2532,7.4997,6.4726,9.212,1.1916,1.1097,1.7805,0.4389,2.48585633464769e-06,0.517281448446856,0.482718551553144,0.0274986551957846,0.972501344804215,0.00267425844733684,0.0193897182672983,0.117864232420711,0.0122344971048474,0.000440331644797795,0.847396962115008,0.521,0.048,0.211,0.153,0.009,0.058,1,11665.71,5,71560
"OH","Government","2018",32,"Ohio",11681,9627,2893,0.24766715178495,1.7021,8.5642,5.5016,0.5323,26.8735,3.2377,6.8737,7.6397,"2017",9.627,11.681,26.8574,3.2669,8.0459,7.372,5.9948,8.8065,1.1172,1.1916,1.8933,0.4899,2.73949148189367e-06,0.517281448446856,0.482718551553144,0.0274986551957846,0.972501344804215,0.00267425844733684,0.0193897182672983,0.117864232420711,0.0122344971048474,0.000440331644797795,0.847396962115008,0.519,0.046,0.207,0.154,0.009,0.065,1,11680.89,4.5,71240
"OH","Government","2019",34,"Ohio",11697,10173,2781,0.237753270069249,1.8803,10.5966,5.4867,0.3824,26.7057,3.2425,6.9917,7.9392,"2018",10.173,11.697,26.8735,3.2377,7.6397,6.8737,5.5016,8.5642,1.13135,1.1172,1.7021,0.5323,2.90672822091134e-06,0.515603771498383,0.484396228501617,0.0334453671620203,0.96655463283798,0.00285339585812735,0.0249521014790396,0.122719060583401,0.0155207225282345,0.000570371989173135,0.833384347562025,0.526,0.04,0.2,0.159,0.008,0.067,1,11696.51,4.2,73650
"OK","Government","2015",50,"Oklahoma",3911,7902,725,0.185374584505242,1.173,6.3326,6.628,0.2293,NA,NA,NA,NA,"2014",7.902,3.911,NA,NA,NA,NA,6.8378,6.2992,0.70115,0.6127,1.0261,0.1993,1.27844541038098e-05,0.509999500756612,0.490000499243388,0.0763425773698137,0.923657422630186,0.0814472549360538,0.020775066752284,0.0734500644712582,0.0430571599248725,0.00146261097405828,0.779807842941473,0.457,0.064,0.173,0.143,0.021,0.142,1,3910.518,4.3,56990
"OK","Government","2016",52,"Oklahoma",3928,8132,688,0.175152749490835,1.4959,6.0742,5.8165,0.3343,22.8186,3.3087,6.4821,7.1509,"2015",8.132,3.928,NA,NA,NA,NA,6.628,6.3326,0.9151,0.70115,1.173,0.2293,1.32382892057026e-05,0.509999500756612,0.490000499243388,0.0763425773698137,0.923657422630186,0.0814472549360538,0.020775066752284,0.0734500644712582,0.0430571599248725,0.00146261097405828,0.779807842941473,0.45,0.066,0.182,0.145,0.019,0.138,1,3928.143,4.6,61120
"OK","Government","2017",47,"Oklahoma",3934,8382,696,0.17691916624301,1.8328,7.0644,6.3264,0.4688,23.9271,3.3026,7.1173,7.7759,"2016",8.382,3.934,22.8186,3.3087,7.1509,6.4821,5.8165,6.0742,1.1508,0.9151,1.4959,0.3343,1.19471276054906e-05,0.509999500756612,0.490000499243388,0.0763425773698137,0.923657422630186,0.0814472549360538,0.020775066752284,0.0734500644712582,0.0430571599248725,0.00146261097405828,0.779807842941473,0.453,0.059,0.18,0.147,0.021,0.14,1,3933.602,4,61180
"OK","Government","2018",49,"Oklahoma",3943,8625,667,0.169160537661679,2.102,7.7538,6.4003,0.3658,25.4297,3.6137,7.6452,8.5438,"2017",8.625,3.943,23.9271,3.3026,7.7759,7.1173,6.3264,7.0644,1.2339,1.1508,1.8328,0.4688,1.24270859751458e-05,0.509999500756612,0.490000499243388,0.0763425773698137,0.923657422630186,0.0814472549360538,0.020775066752284,0.0734500644712582,0.0430571599248725,0.00146261097405828,0.779807842941473,0.46,0.058,0.176,0.147,0.021,0.137,1,3943.488,3.3,62920
"OK","Government","2019",54,"Oklahoma",3961,8923,658,0.16611966675082,1.759,10.5372,5.883,0.2918,23.1873,3.4613,7.4047,8.0107,"2018",8.923,3.961,25.4297,3.6137,8.5438,7.6452,6.4003,7.7538,1.0254,1.2339,2.102,0.3658,1.36329209795506e-05,0.509836358357338,0.490163641642662,0.0894034195692164,0.910596580430784,0.0862834426372901,0.0242314549948067,0.0755825303907571,0.0477831068930504,0.00196058671929487,0.764158878364801,0.455,0.055,0.17,0.151,0.02,0.149,1,3960.676,3.1,67650
"OR","Government","2015",38,"Oregon",4019,8438,1089,0.27096292610102,2.2682,13.0385,7.2868,0.3688,NA,NA,NA,NA,"2014",8.438,4.019,NA,NA,NA,NA,7.312,12.5908,1.3185,1.24005,2.1159,0.3642,9.45508833043046e-06,0.509743249197888,0.490256750802112,0.0964367219629422,0.903563278037058,0.0160344086975439,0.0418393010496845,0.0185960784339307,0.0258306590836372,0.0037795555010504,0.893919997234153,0.458,0.075,0.239,0.147,0.011,0.07,1,4018.542,5.5,73640
"OR","Government","2016",37,"Oregon",4093,8699,1087,0.265575372587344,2.6438,16.2565,7.4623,0.5011,25.0475,4.1246,9.6043,9.8847,"2015",8.699,4.093,NA,NA,NA,NA,7.2868,13.0385,1.57245,1.3185,2.2682,0.3688,9.0398240899096e-06,0.509743249197888,0.490256750802112,0.0964367219629422,0.903563278037058,0.0160344086975439,0.0418393010496845,0.0185960784339307,0.0258306590836372,0.0037795555010504,0.893919997234153,0.468,0.076,0.233,0.152,0.009,0.062,1,4093.271,4.7,70950
"OR","Government","2017",32,"Oregon",4147,8827,1026,0.247407764649144,3.1571,20.0373,7.8704,0.3956,26.732,4.6722,9.215,9.7615,"2016",8.827,4.147,25.0475,4.1246,9.8847,9.6043,7.4623,16.2565,1.77635,1.57245,2.6438,0.5011,7.71642150952496e-06,0.509743249197888,0.490256750802112,0.0964367219629422,0.903563278037058,0.0160344086975439,0.0418393010496845,0.0185960784339307,0.0258306590836372,0.0037795555010504,0.893919997234153,0.471,0.071,0.229,0.152,0.01,0.068,1,4147.294,4.1,73690
"OR","Government","2018",33,"Oregon",4184,9168,985,0.235420650095602,3.3008,19.6526,7.7291,0.4095,26.5376,4.2964,9.2305,9.9378,"2017",9.168,4.184,26.732,4.6722,9.7615,9.215,7.8704,20.0373,1.85515,1.77635,3.1571,0.3956,7.88718929254302e-06,0.509743249197888,0.490256750802112,0.0964367219629422,0.903563278037058,0.0160344086975439,0.0418393010496845,0.0185960784339307,0.0258306590836372,0.0037795555010504,0.893919997234153,0.476,0.065,0.221,0.156,0.01,0.072,1,4183.538,4,79950
"OR","Government","2019",35,"Oregon",4216,9635,992,0.235294117647059,3.0911,19.3978,7.3609,0.5165,26.0232,4.46,8.9273,9.7824,"2018",9.635,4.216,26.5376,4.2964,9.9378,9.2305,7.7291,19.6526,1.8038,1.85515,3.3008,0.4095,8.30170777988615e-06,0.508478349154552,0.491521650845448,0.111036579525384,0.888963420474616,0.0167057509904363,0.0495741802959507,0.0207444810239367,0.0307382118168437,0.00432906504071106,0.877908310832122,0.493,0.057,0.208,0.162,0.009,0.071,1,4216.116,3.7,84760
"PA","Government","2015",10,"Pennsylvania",12790,9562,2677,0.209304143862392,1.721,7.8005,6.8189,0.586,NA,NA,NA,NA,"2014",9.562,12.79,NA,NA,NA,NA,7.0116,7.3078,1.1535,1.07395,1.6237,0.5242,7.81860828772478e-07,0.517379704657236,0.482620295342764,0.0522600762469849,0.947739923753015,0.00304343867620158,0.0306900276593114,0.106897354414894,0.0110222773349894,0.000559090220562831,0.84778781169404,0.527,0.068,0.185,0.152,0.006,0.063,1,12789.84,5.4,73100
"PA","Government","2016",11,"Pennsylvania",12788,9980,3002,0.234751329371286,1.989,8.3831,5.9468,0.4683,29.8827,3.723,7.1767,7.8031,"2015",9.98,12.788,NA,NA,NA,NA,6.8189,7.8005,1.22865,1.1535,1.721,0.586,8.60181420081326e-07,0.517379704657236,0.482620295342764,0.0522600762469849,0.947739923753015,0.00304343867620158,0.0306900276593114,0.106897354414894,0.0110222773349894,0.000559090220562831,0.84778781169404,0.515,0.067,0.199,0.155,0.006,0.058,1,12788.47,5.3,73170
"PA","Government","2017",7,"Pennsylvania",12795,10342,3051,0.238452520515826,2.1168,8.4714,5.2935,0.629,28.7834,3.4788,6.4102,7.2198,"2016",10.342,12.795,29.8827,3.723,7.8031,7.1767,5.9468,8.3831,1.3729,1.22865,1.989,0.4683,5.47088706525987e-07,0.517379704657236,0.482620295342764,0.0522600762469849,0.947739923753015,0.00304343867620158,0.0306900276593114,0.106897354414894,0.0110222773349894,0.000559090220562831,0.84778781169404,0.522,0.059,0.197,0.16,0.006,0.055,1,12794.68,5,72260
"PA","Government","2018",14,"Pennsylvania",12809,10910,3030,0.236552424076821,2.2714,8.6599,5.4619,0.6392,28.0798,3.0547,6.4925,7.302,"2017",10.91,12.809,28.7834,3.4788,7.2198,6.4102,5.2935,8.4714,1.4553,1.3729,2.1168,0.629,1.09298149738465e-06,0.517379704657236,0.482620295342764,0.0522600762469849,0.947739923753015,0.00304343867620158,0.0306900276593114,0.106897354414894,0.0110222773349894,0.000559090220562831,0.84778781169404,0.523,0.054,0.202,0.159,0.006,0.056,1,12809.11,4.4,74580
"PA","Government","2019",13,"Pennsylvania",12799,11175,3079,0.240565669192906,2.3109,10.1721,5.3861,0.4409,27.0601,2.9208,6.6001,7.3076,"2018",11.175,12.799,28.0798,3.0547,7.302,6.4925,5.4619,8.6599,1.3759,1.4553,2.2714,0.6392,1.01570435190249e-06,0.515565089425787,0.484434910574213,0.0652290490348186,0.934770950965181,0.00352836506785749,0.0365872929659796,0.112046622947568,0.0139483525834335,0.000664071386345693,0.833225295048816,0.518,0.051,0.202,0.163,0.008,0.057,1,12798.88,4.3,80390
"RI","Government","2015",2,"Rhode Island",1057,9914,229,0.216650898770104,2.6847,13.2805,7.3563,0.434,NA,NA,NA,NA,"2014",9.914,1.057,NA,NA,NA,NA,8.1459,12.942,1.55935,1.2183,2.1277,0.3089,1.89214758751183e-06,0.522475939664493,0.477524060335507,0.114799708337943,0.885200291662057,0.00786607335086636,0.032948772390594,0.0683574025899876,0.0173557955939046,0.00141429929142297,0.872057656783224,0.52,0.055,0.228,0.137,0.008,0.052,1,1056.886,6,67430
"RI","Government","2016",2,"Rhode Island",1058,10159,242,0.228733459357278,2.9593,15.6336,7.2464,0.4722,30.2912,4.3673,8.7857,9.2161,"2015",10.159,1.058,NA,NA,NA,NA,7.3563,13.2805,1.71575,1.55935,2.6847,0.434,1.89035916824197e-06,0.522475939664493,0.477524060335507,0.114799708337943,0.885200291662057,0.00786607335086636,0.032948772390594,0.0683574025899876,0.0173557955939046,0.00141429929142297,0.872057656783224,0.52,0.069,0.22,0.141,0.008,0.042,1,1057.816,5.2,73830
"RI","Government","2017",3,"Rhode Island",1057,10290,264,0.249763481551561,2.8377,16.3013,7.1335,0.467,31.0824,4.4425,8.2505,8.7667,"2016",10.29,1.057,30.2912,4.3673,9.2161,8.7857,7.2464,15.6336,1.65235,1.71575,2.9593,0.4722,2.83822138126774e-06,0.522475939664493,0.477524060335507,0.114799708337943,0.885200291662057,0.00786607335086636,0.032948772390594,0.0683574025899876,0.0173557955939046,0.00141429929142297,0.872057656783224,0.512,0.06,0.236,0.139,0.008,0.045,1,1056.554,4.5,77120
"RI","Government","2018",3,"Rhode Island",1059,10464,262,0.247403210576015,2.7859,15.1725,7.0457,0.4388,29.499,4.2056,8.0424,8.7978,"2017",10.464,1.059,31.0824,4.4425,8.7667,8.2505,7.1335,16.3013,1.61235,1.65235,2.8377,0.467,2.8328611898017e-06,0.522475939664493,0.477524060335507,0.114799708337943,0.885200291662057,0.00786607335086636,0.032948772390594,0.0683574025899876,0.0173557955939046,0.00141429929142297,0.872057656783224,0.52,0.054,0.235,0.142,0.008,0.04,1,1059.338,4,71970
"RI","Government","2019",3,"Rhode Island",1058,10988,253,0.239130434782609,2.3975,15.9796,6.9213,0.3743,29.1985,4.0385,7.9888,8.9511,"2018",10.988,1.058,29.499,4.2056,8.7978,8.0424,7.0457,15.1725,1.3859,1.61235,2.7859,0.4388,2.83553875236295e-06,0.519284506020006,0.480715493979994,0.138190310628808,0.861809689371192,0.00873998372813102,0.0358671794061353,0.0780066375177791,0.020692198282674,0.00167401242046978,0.855019988644811,0.54,0.059,0.205,0.146,0.008,0.043,1,1058.158,3.5,79900
"SC","Government","2015",41,"South Carolina",4896,7446,1014,0.207107843137255,1.7402,8.2666,6.2713,0.2951,NA,NA,NA,NA,"2014",7.446,4.896,NA,NA,NA,NA,6.235,6.6141,1.01765,0.75475,1.2052,0.3043,8.37418300653595e-06,0.520722796838781,0.479277203161219,0.0433892285377327,0.956610771462267,0.00509346744567501,0.0146446339248194,0.267537854654394,0.010028060567447,0.000823381095039922,0.701872602312624,0.452,0.067,0.196,0.153,0.024,0.108,1,4896.006,5.9,56120
